Désignation,Pays,Valeurs au mardi 14 avril 2020
Plus petit nombre de contamination,Benin,35.0
Plus grand nombre de contamination,Niger,570.0
Faible taux de contamination,Nigeria,1.81 / 1 million d'habitants
Fort taux de contamination,Burkina Faso,25.26 / 1 million d'habitants
,,
Plus petit nombre de guérison,Benin,18.0
Plus grand nombre de guérison,Burkina Faso,177.0
Faible taux de guérison,Niger,15.79 / 100 cas
Fort taux de guérison,Benin,51.43 / 100 cas
,,
Plus petit nombre de décès,Benin,1.0
Plus grand nombre de décès,Burkina Faso,30.0
Faible taux de décès,Niger,2.46 / 100 cas
Fort taux de décès,Burkina Faso,5.68 / 100 cas
